name,description,country,founding_date,relevancy
Pandora Car Rental,"Welcome to Pandora Car Rental, Car Hire and Airport Transfers based in Dalaman Turkey.  We have a wide range of cars to suit all budgets and can deliver your car for free anytime day or night within the Dalaman locality.


Reasons to Book Car from Pandora Car Rental:

Unlimited Milage
VAT
All Local Taxes
Airport Service Charge where applicable
24 hours Road Service
Third Party Insurance with NO Excess
Theft Insurance with NO Excess
Fire Insurance with NO Excess
FDW Insurance with NO Excess
CDW Collision Damage Waiver with NO Excess
TWH Tyre Windscreen Headlight Insurance with NO Excess
3 Additional Drivers
Child/Baby Seat (must be ordered)
No Hidden Extras


Address:
Hadrian Flats Number 4 
Wellington Telford 
Pin Code: TF11RQ
Tel:  + 44 776 558 66 77 
Website: http://www.dalamancarrental.com",United Kingdom,2011-04-05,0
SurplusMatch,"SurplusMatch is an online marketplace for contractors, Merchants and Manufacturers to buy and sell old stocks, end of line, slight seconds and site surplus materials. Sellers list the details of stock, buyers browse and order the materials and SurplusMatch delivers them while maintaining the anonymity of the seller.",United Kingdom,2008-01-01,2
Gimenez Ganga,"Giménez Ganga is a company that has been providing solutions for windows, sunlight protection and decoration since 1959.",Switzerland,1959-01-01,0
SMC3,"Freight shippers, motor carriers, logistics service providers and other supply chain professionals look to SMC³ for the technology, industry data, educational services and general know-how to achieve greater success in the transportation marketplace. The company is best known for its CzarLite base rates, which are used as a price benchmark in transportation agreements. Additionally SMC³ produces a range of enabling technologies that give shippers and carriers complete visibility into their transportation spend. Each January and June, SMC³ hosts a comprehensive supply chain conference that gives industry professionals an inside look into cost-saving trends and best business practices as well as timely economic and legislative updates.",United States,1935-01-01,0
Much Asphalt,Much Asphalt is southern Africa’s commercial supplier of an extensive range of hot and cold asphalt products to the road construction economy. Much Asphalt owns and operates 15 static plants in the major centres of South Africa and is the majority shareholder in East Coast Asphalt which operates two more in East London and Mthatha.,South Africa,1965-01-01,0
The Hisey Company,"The Hisey Company provides quality arbor care for consumers, providing a professional grade of service far beyond anything available in the marketplace today. With a focus on professionalism and quality of customer service, the company has created a experience that every customer will be hard pressed to find with any other service company.

In a industry with many """"competitors"""", we set ourselves apart by providing service far above and beyond our competitors very best. 

This is clearly evident in the growth and revenues that we have accomplished over the past 36 months. Without turning our focus away from continuing to grow, we aim to continue to build lasting relationships with every customer that will bring them back again.",United States,2011-02-19,0
"FREIGHTALIA, LTD.","#1 Automatic quoting system ever created for Freight Forwarders, fully adaptable to your clientele, country or service needs. With Freightalia you can send beautiful quotes to your customers in real time. Know exactly when a quote was issued, when it was viewed, when it was accepted, and when it’s still pending.",United Kingdom,2015-09-26,0
Instant Access Au,"Instant Access is a provider of Access equipment including aluminium scaffolding, mobile towers, Elevated Working Platform, swing stages and specialized access solutions tailored to specific customers. Instant Access were the first company in Australia to offer mobile aluminium mobile scaffolds.",Australia,1968-01-01,1
CANOR International,"CANOR International provides project management, design, and consulting services. It offers urban planning services, such as development planning, space planning, architectural and engineering design, interior design, and CAD drafting; and project management services, including technical inspection, construction management, engineering audits, financial engineering, engineering consultancy, environmental engineering and consultancy, and facility management. The company also designs exhibition centers, as well as hotels and thermal baths.",Hungary,1993-01-01,0
LISUTO,LISUTO is a Multi-language batch exhibition system business,Japan,2016-11-01,1
